_id,Sl. No,State/UT/City,Road Accidents Cases,Road Accidents Injured,Road Accidents Died
1,1,ANDHRA PRADESH,21556,21040,8186
2,2,ARUNACHAL PRADESH,261,266,173
3,3,ASSAM,7069,5420,3014
4,4,BIHAR,9553,7946,7660
5,5,CHHATTISGARH,12395,10682,5413
6,6,GOA,2850,856,226
7,7,GUJARAT,15200,13722,7457
8,8,HARYANA,10049,7972,4983
9,9,HIMACHAL PRADESH,2408,3445,1032
10,10,JHARKHAND,4728,3227,3513
11,11,KARNATAKA,34647,40754,10038
12,12,KERALA,32759,36514,3429
13,13,MADHYA PRADESH,48219,47117,12480
14,14,MAHARASHTRA,26598,19676,13911
15,15,MANIPUR,366,504,110
16,16,MEGHALAYA,244,263,187
17,17,MIZORAM,64,28,64
18,18,NAGALAND,25,35,23
19,19,ODISHA,10983,9782,5081
20,20,PUNJAB,6097,3034,4516
21,21,RAJASTHAN,20954,19357,10043
22,22,SIKKIM,122,178,64
23,23,TAMIL NADU,55682,55996,15384
24,24,TELANGANA,21315,20107,7557
25,25,TRIPURA,478,546,194
26,26,UTTAR PRADESH,33711,19813,21792
27,27,UTTARAKHAND,1405,1127,824
28,28,WEST BENGAL,11501,9796,5831
29,,TOTAL (STATES),391239,359203,153185
30,29,A & N ISLANDS,117,97,22
31,30,CHANDIGARH,208,172,96
32,31,DADRA & N HAVELI DAMAN & DIU,140,171,76
33,32,DELHI (UT),4720,3989,1239
34,33,JAMMU & KASHMIR,5402,6856,804
35,34,LADAKH,237,291,56
36,35,LAKSHADWEEP,4,6,1
37,36,PUDUCHERRY,1049,1099,143
38,,TOTAL (UTS),11877,12681,2437
39,,TOTAL (ALL INDIA),403116,371884,155622
40,37,AGRA,160,53,166
41,38,AHMEDABAD,1433,1063,403
42,39,ALLAHABAD,594,406,264
43,40,AMRITSAR,98,48,65
44,41,ASANSOL,285,72,300
45,42,AURANGABAD,478,366,201
46,43,BENGALURU,3213,2820,654
47,44,BHOPAL,1891,1578,104
48,45,CHANDIGARH (CITY),208,172,96
49,46,CHENNAI,5034,5020,998
50,47,COIMBATORE,866,687,234
51,48,DELHI (CITY),4505,3827,1172
52,49,DHANBAD,187,108,123
53,50,DURG BHILAINAGAR,625,513,95
54,51,FARIDABAD,538,423,244
55,52,GHAZIABAD,296,219,129
56,53,GWALIOR,1034,910,165
57,54,HYDERABAD,2273,2151,297
58,55,INDORE,2618,2215,273
59,56,JABALPUR,1802,1952,223
60,57,JAIPUR,2166,1791,625
61,58,JAMSHEDPUR,152,134,65
62,59,JODHPUR,595,421,236
63,60,KANNUR,1110,1327,122
64,61,KANPUR,593,299,593
65,62,KOCHI,1781,1758,141
66,63,KOLKATA,1519,1325,211
67,64,KOLLAM,1552,1647,184
68,65,KOTA,368,367,75
69,66,KOZHIKODE,1377,1391,131
70,67,LUCKNOW,1063,655,459
71,68,LUDHIANA,478,169,380
72,69,MADURAI,618,506,154
73,70,MALAPPURAM,686,757,95
74,71,MEERUT,348,238,141
75,72,MUMBAI,493,22,472
76,73,NAGPUR,1024,797,280
77,74,NASIK,142,22,142
78,75,PATNA,384,285,210
79,76,PUNE,304,94,224
80,77,RAIPUR,932,566,145
81,78,RAJKOT,363,288,135
82,79,RANCHI,183,129,102
83,80,SRINAGAR,331,347,40
84,81,SURAT,670,513,272
85,82,THIRUVANANTHAPURAM,1438,1515,117
86,83,THRISSUR,1719,1875,201
87,84,TIRUCHIRAPPALLI,399,377,130
88,85,VADODARA,464,349,146
89,86,VARANASI,133,86,145
90,87,VASAI VIRAR,352,256,150
91,88,VIJAYAWADA,1228,1081,287
92,89,VISHAKHAPATNAM,2339,1533,368
93,,TOTAL (CITIES),55442,47523,13384
